lon,lat,elev,time
-74.0807113647,4.6565237045,2570,11:38:43
-74.0806274414,4.6564393044,2570,11:38:47
-74.0805587769,4.6563606262,2570,11:38:51
-74.0805587769,4.6563606262,2570,11:38:57
-74.0805587769,4.6563606262,2570,11:38:59
-74.0805587769,4.6563606262,2570,11:39:01
-74.0805587769,4.6563606262,2570,11:39:03
-74.0805587769,4.6563606262,2570,11:39:05
-74.0805587769,4.6563606262,2570,11:39:07
-74.0805587769,4.6563606262,2570,11:39:09
-74.0805587769,4.6561994553,2568,11:39:16
-74.0805358887,4.6561031342,2568,11:39:18
-74.0805130005,4.6560416222,2568,11:39:20
-74.0804748535,4.6559958458,2568,11:39:22
-74.0804290771,4.6559624672,2568,11:39:24
-74.080329895,4.6559057236,2568,11:39:26
-74.0802383423,4.6558790207,2567,11:39:30
-74.0802383423,4.6558790207,2567,11:39:32
-74.0801315308,4.6558237076,2567,11:39:34
-74.0801315308,4.6558237076,2567,11:39:36
-74.0801315308,4.6558237076,2567,11:39:38
-74.0799865723,4.6556768417,2566,11:39:42
-74.0799331665,4.6555991173,2566,11:39:46
-74.0799331665,4.6555991173,2566,11:39:50
-74.0799331665,4.6555991173,2566,11:39:52
-74.0799331665,4.6555991173,2566,11:39:54
-74.0797805786,4.6557226181,2565,11:40:00
-74.0797424316,4.6558241844,2565,11:40:04
-74.0797042847,4.655921936,2565,11:40:08
-74.0797042847,4.655921936,2565,11:40:10
-74.0797042847,4.655921936,2565,11:40:12
-74.0797042847,4.655921936,2565,11:40:14
-74.0797042847,4.655921936,2565,11:40:16
-74.0797042847,4.655921936,2565,11:40:18
-74.0796737671,4.6561131477,2566,11:40:28
-74.0796737671,4.6561131477,2566,11:40:30
-74.0796737671,4.6561131477,2566,11:40:32
-74.0796737671,4.6561131477,2566,11:40:34
-74.0796737671,4.6561131477,2566,11:40:36
-74.0796737671,4.6561131477,2566,11:40:38
-74.0796737671,4.6561131477,2566,11:40:40
-74.0796737671,4.6561131477,2566,11:40:42
-74.0796737671,4.6561131477,2566,11:40:44
-74.0796737671,4.6561131477,2566,11:40:46
-74.0796737671,4.6561131477,2566,11:40:48
-74.0796737671,4.6561131477,2566,11:40:50
-74.0796737671,4.6561131477,2566,11:40:52
-74.0795669556,4.6563267708,2567,11:41:04
-74.0795135498,4.656443119,2567,11:41:06
-74.0794754028,4.6565113068,2567,11:41:08
-74.0794525146,4.6565518379,2568,11:41:10
-74.0794296265,4.6565990448,2569,11:41:18
-74.0793991089,4.656639576,2569,11:41:22
-74.0793762207,4.6566796303,2570,11:41:28
-74.0793533325,4.6567196846,2570,11:41:34
-74.0793533325,4.6567196846,2570,11:41:36
-74.0793533325,4.6567196846,2570,11:41:38
-74.0793533325,4.6567196846,2570,11:41:40
-74.0793533325,4.6567196846,2570,11:41:42
-74.0793151855,4.6567974091,2571,11:41:46
-74.079284668,4.656847477,2572,11:41:48
-74.0792617798,4.6568937302,2572,11:41:52
-74.0792388916,4.6569395065,2572,11:41:56
-74.0792160034,4.6569843292,2572,11:42:00
-74.0792160034,4.6569843292,2572,11:42:04
-74.0792160034,4.6569843292,2572,11:42:06
-74.0792160034,4.6569843292,2572,11:42:08
-74.0792160034,4.6569843292,2572,11:42:10
-74.0792007446,4.6570868492,2572,11:42:16
-74.0792007446,4.657148838,2571,11:42:18
-74.0792312622,4.6571993828,2571,11:42:24
-74.0792617798,4.657242775,2571,11:42:28
-74.0792617798,4.657242775,2571,11:42:30
-74.0792617798,4.657242775,2571,11:42:32
-74.0793151855,4.657289505,2571,11:42:36
-74.0793533325,4.6573219299,2571,11:42:38
-74.0793914795,4.6573472023,2571,11:42:44
-74.0793914795,4.6573472023,2571,11:42:46
-74.0794448853,4.6573677063,2571,11:42:48
-74.0794448853,4.6573677063,2571,11:42:50
-74.0794448853,4.6573677063,2571,11:42:52
-74.0794448853,4.6573677063,2571,11:42:54
-74.0794448853,4.6573677063,2571,11:42:56
-74.0794448853,4.6573677063,2571,11:42:58
-74.0794448853,4.6573677063,2571,11:43:00
-74.0795593262,4.6573781967,2571,11:43:06
-74.0795593262,4.6573781967,2571,11:43:08
-74.0795593262,4.6573781967,2571,11:43:10
-74.0795593262,4.6573781967,2571,11:43:12
-74.0795593262,4.6573781967,2571,11:43:14
-74.0795593262,4.6573781967,2571,11:43:16
-74.0795593262,4.6573781967,2571,11:43:18
-74.0795593262,4.6573781967,2571,11:43:20
-74.0795593262,4.6573781967,2571,11:43:22
-74.0795593262,4.6573781967,2571,11:43:24
-74.0795593262,4.6573781967,2571,11:43:26
-74.079750061,4.6573805809,2571,11:43:30
-74.0798492432,4.6573791504,2571,11:43:32
-74.0799179077,4.6573758125,2571,11:43:34
-74.0799179077,4.6573758125,2571,11:43:36
-74.0799713135,4.6573672295,2571,11:43:38
-74.0799713135,4.6573672295,2571,11:43:44
-74.0799713135,4.6573672295,2571,11:43:46
-74.0799713135,4.6573672295,2571,11:43:48
-74.080078125,4.6573476791,2571,11:43:52
-74.0801467896,4.657336235,2571,11:43:54
-74.0801925659,4.6573281288,2571,11:43:56
-74.0802383423,4.6573166847,2571,11:44:02
-74.0802841187,4.6573085785,2571,11:44:06
-74.0802841187,4.6573085785,2571,11:44:08
-74.0802841187,4.6573085785,2571,11:44:10
-74.0802841187,4.6573085785,2571,11:44:12
-74.0802841187,4.6573085785,2571,11:44:14
-74.0802841187,4.6573085785,2571,11:44:16
-74.0802841187,4.6573085785,2571,11:44:18
-74.0802841187,4.6573085785,2571,11:44:20
-74.0802841187,4.6573085785,2571,11:44:22
-74.0802841187,4.6573085785,2571,11:44:24
-74.0802841187,4.6573085785,2571,11:44:26
